taz1454,transit_access,district,county,terminal05,oprkcst05,prkcst05,residential,multifamily,res_density,LU_type_CBD,LU_type_Core,LU_type_Rural,LU_type_Suburban,LU_type_Urban,LU_type_UrbanBusiness,emp_density,hhinc__q1,hhinc__q2,hhinc__q3,hhinc__q4
566,38.93379730211903,11,Santa Clara,1.20229,0.0,0.0,1,1,1.007793688796269,0,0,0,1,0,0,0.9381494094892099,0,1,0,0
565,60.34573258291868,11,Santa Clara,1.49836,0.0,0.0,1,1,3.7494806472132347,0,0,0,1,0,0,2.190453587099339,0,0,1,0
570,14.029283833340706,11,Santa Clara,1.70474,0.0,0.0,1,0,4.8073299441341035,0,0,0,0,1,0,1.778232653859215,1,0,0,0
394,26.891365468549758,9,Santa Clara,1.40512,0.0,0.0,1,0,2.6955826245459873,0,0,0,0,1,0,3.751195400591968,1,0,0,0
450,46.03663048225161,9,Santa Clara,1.45681,0.0,0.0,0,1,3.284791854716758,0,0,0,0,1,0,5.4450433449016,1,0,0,0
425,24.684545623902135,9,Santa Clara,1.41503,0.0,0.0,1,1,5.467830770429287,0,0,0,1,0,0,1.6077394220957124,0,1,0,0
391,7.520883227515536,9,Santa Clara,1.34471,0.0,0.0,1,1,4.610825769806948,0,0,0,1,0,0,1.6014515527870934,0,0,0,1
422,65.14274475473842,9,Santa Clara,1.50925,0.0,0.0,1,1,3.4825673534626786,0,0,0,1,0,0,4.476796062952289,1,0,0,0
420,46.45042447055715,9,Santa Clara,1.22439,0.0,0.0,1,0,2.432550445960778,0,0,0,1,0,0,0.3730123226440512,0,0,1,0
413,17.19570169022656,9,Santa Clara,1.19843,0.0,0.0,0,1,1.8827482083926923,0,0,0,1,0,0,2.392852402784801,0,0,1,0
543,50.01716205690872,11,Santa Clara,1.48652,0.0,0.0,0,0,1.7028996309564317,0,0,0,1,0,0,5.970407139859296,0,1,0,0
545,27.24589565851677,11,Santa Clara,1.82189,0.0,0.0,1,1,4.316812120048193,0,0,0,1,0,0,7.876241828457428,1,0,0,0
544,0.281732955815037,11,Santa Clara,1.30351,0.0,0.0,1,1,3.788364796303915,0,0,0,1,0,0,1.4659955725160743,1,0,0,0
424,2.447143897065012,9,Santa Clara,1.33738,0.0,0.0,1,0,4.095690878711704,0,0,0,1,0,0,1.3663370868178888,0,1,0,0
377,54.13931911139272,8,Santa Clara,1.30454,0.0,0.0,1,1,3.410571422721609,0,0,0,1,0,0,3.015530616490356,0,1,0,0
376,3.047766311491088,8,Santa Clara,1.35546,0.0,0.0,1,0,3.3409796312295144,0,0,0,1,0,0,3.162147805045643,1,0,0,0
372,61.55759365167739,8,Santa Clara,1.76612,0.0,0.0,0,1,5.56378749829182,0,0,0,0,1,0,6.487439420245027,1,0,0,0
378,65.87975578079465,8,Santa Clara,1.97203,0.0,0.0,1,1,3.213125409300164,0,0,0,0,1,0,12.160522134960242,0,0,1,0
366,13.93390995395343,8,Santa Clara,1.52527,0.0,0.0,1,1,3.5820968515718166,0,0,0,1,0,0,5.1899086279794275,0,1,0,0
360,23.312965437075064,8,Santa Clara,1.21506,0.0,0.0,1,0,3.373996122365538,0,0,0,1,0,0,1.2776529433957737,0,0,0,1
359,43.54551694238437,8,Santa Clara,1.16813,0.0,0.0,1,0,2.5830741484577873,0,0,0,1,0,0,1.2989549642531821,0,0,0,1
355,19.059471970689717,8,Santa Clara,3.3781,83.0,23.0,0,1,0.7353507056441476,0,0,0,0,0,1,10.96746376949192,1,0,0,0
354,10.126032129059595,8,Santa Clara,3.28284,83.0,23.0,0,1,0.31618365393928394,0,0,0,0,0,1,15.37580355739491,0,1,0,0
656,1.764948763432796,13,Santa Clara,1.16839,0.0,0.0,0,0,0.24009984960717556,0,0,0,1,0,0,0.3745351227348902,0,0,0,1
657,14.175866793331876,13,Santa Clara,1.30517,0.0,0.0,1,0,2.1884325124884576,0,0,0,1,0,0,0.5251498382312818,0,0,1,0
373,60.25117121170066,8,Santa Clara,1.32505,0.0,0.0,1,0,2.6173808025868968,0,0,0,1,0,0,3.308407198929911,0,0,0,1
365,62.391964777561434,8,Santa Clara,1.59449,0.0,0.0,1,1,6.395204120774297,0,0,0,0,1,0,4.823968625584061,1,0,0,0
379,4.783437002977867,8,Santa Clara,1.53244,0.0,0.0,1,1,6.0785147478392805,0,0,0,0,1,0,2.8842736357508776,0,1,0,0
